1.022  3.42692e-020
2.044  3.45778e-020
3.066  3.48849e-020
4.088  3.51906e-020
5.11  3.54947e-020
6.132  3.57973e-020
7.154  3.60983e-020
8.176  3.63977e-020
9.198  3.66954e-020
10.22  3.69913e-020
11.242  3.72856e-020
12.264  3.75782e-020
13.286  3.78691e-020
14.308  3.81583e-020
15.33  3.84459e-020
16.352  3.87318e-020
17.374  3.90161e-020
18.396  3.92988e-020
19.418  3.95799e-020
20.44  3.98595e-020
21.462  4.01375e-020
22.484  4.0414e-020
23.506  4.0689e-020
24.528  4.09624e-020
25.55  4.12344e-020
26.572  4.15048e-020
27.594  4.17737e-020
28.616  4.20411e-020
29.638  4.23069e-020
30.66  4.25713e-020
31.682  4.28341e-020
32.704  4.30954e-020
33.726  4.33551e-020
34.748  4.36133e-020
35.77  4.38699e-020
36.792  4.41249e-020
37.814  4.43783e-020
38.836  4.46301e-020
39.858  4.48803e-020
40.88  4.51288e-020
41.902  4.53756e-020
42.924  4.56208e-020
43.946  4.58642e-020
44.968  4.61059e-020
45.99  4.63459e-020
47.012  4.65841e-020
48.034  4.68206e-020
49.056  4.70552e-020
50.078  4.7288e-020
51.1  4.75189e-020
52.122  4.7748e-020
53.144  4.79752e-020
54.166  4.82004e-020
55.188  4.84237e-020
56.21  4.86451e-020
57.232  4.88645e-020
58.254  4.90819e-020
59.276  4.92972e-020
60.298  4.95105e-020
61.32  4.97217e-020
62.342  4.99309e-020
63.364  5.01379e-020
64.386  5.03428e-020
65.408  5.05455e-020
66.43  5.0746e-020
67.452  5.09443e-020
68.474  5.11404e-020
69.496  5.13342e-020
70.518  5.15258e-020
71.54  5.1715e-020
72.562  5.1902e-020
73.584  5.20866e-020
74.606  5.22688e-020
75.628  5.24486e-020
76.65  5.26261e-020
77.672  5.28011e-020
78.694  5.29736e-020
79.716  5.31437e-020
80.738  5.33113e-020
81.76  5.34763e-020
82.782  5.36388e-020
83.804  5.37988e-020
84.826  5.39562e-020
85.848  5.4111e-020
86.87  5.42631e-020
87.892  5.44126e-020
88.914  5.45595e-020
89.936  5.47036e-020
90.958  5.48451e-020
91.98  5.49838e-020
93.002  5.51198e-020
94.024  5.5253e-020
95.046  5.53834e-020
96.068  5.5511e-020
97.09  5.56358e-020
98.112  5.57577e-020
99.134  5.58768e-020
100.156  5.59929e-020
101.178  5.61062e-020
102.2  5.62165e-020
103.222  5.63239e-020
104.244  5.64283e-020
105.266  5.65298e-020
106.288  5.66282e-020
107.31  5.67236e-020
108.332  5.68159e-020
109.354  5.69052e-020
110.376  5.69914e-020
111.398  5.70744e-020
112.42  5.71544e-020
113.442  5.72312e-020
114.464  5.73049e-020
115.486  5.73753e-020
116.508  5.74426e-020
117.53  5.75066e-020
118.552  5.75674e-020
119.574  5.7625e-020
120.596  5.76792e-020
121.618  5.77302e-020
122.64  5.77778e-020
123.662  5.78221e-020
124.684  5.78631e-020
125.706  5.79006e-020
126.728  5.79348e-020
127.75  5.79656e-020
128.772  5.79929e-020
129.794  5.80167e-020
130.816  5.80371e-020
131.838  5.8054e-020
132.86  5.80674e-020
133.882  5.80772e-020
134.904  5.80835e-020
135.926  5.80862e-020
136.948  5.80854e-020
137.97  5.80809e-020
138.992  5.80727e-020
140.014  5.8061e-020
141.036  5.80455e-020
142.058  5.80263e-020
143.08  5.80035e-020
144.102  5.79769e-020
145.124  5.79465e-020
146.146  5.79124e-020
147.168  5.78744e-020
148.19  5.78326e-020
149.212  5.7787e-020
150.234  5.77376e-020
151.256  5.76842e-020
152.278  5.7627e-020
153.3  5.75658e-020
154.322  5.75006e-020
155.344  5.74315e-020
156.366  5.73584e-020
157.388  5.72813e-020
158.41  5.72002e-020
159.432  5.7115e-020
160.454  5.70257e-020
161.476  5.69323e-020
162.498  5.68348e-020
163.52  5.67332e-020
164.542  5.66274e-020
165.564  5.65174e-020
166.586  5.64031e-020
167.608  5.62847e-020
168.63  5.6162e-020
169.652  5.6035e-020
170.674  5.59037e-020
171.696  5.5768e-020
172.718  5.56281e-020
173.74  5.54837e-020
174.762  5.5335e-020
175.784  5.51818e-020
176.806  5.50243e-020
177.828  5.48622e-020
178.85  5.46957e-020
179.872  5.45246e-020
180.894  5.43491e-020
181.916  5.4169e-020
182.938  5.39843e-020
183.96  5.3795e-020
184.982  5.36011e-020
186.004  5.34026e-020
187.026  5.31994e-020
188.048  5.29915e-020
189.07  5.2779e-020
190.092  5.25617e-020
191.114  5.23397e-020
192.136  5.21129e-020
193.158  5.18814e-020
194.18  5.16451e-020
195.202  5.14039e-020
196.224  5.11579e-020
197.246  5.09071e-020
198.268  5.06514e-020
199.29  5.03908e-020
200.312  5.01254e-020
201.334  4.9855e-020
202.356  4.95797e-020
203.378  4.92994e-020
204.4  4.90142e-020
205.422  4.8724e-020
206.444  4.84289e-020
207.466  4.81287e-020
208.488  4.78236e-020
209.51  4.75135e-020
210.532  4.71983e-020
211.554  4.68781e-020
212.576  4.6553e-020
213.598  4.62227e-020
214.62  4.58875e-020
215.642  4.55472e-020
216.664  4.52019e-020
217.686  4.48515e-020
218.708  4.44961e-020
219.73  4.41357e-020
220.752  4.37703e-020
221.774  4.33999e-020
222.796  4.30245e-020
223.818  4.2644e-020
224.84  4.22586e-020
225.862  4.18683e-020
226.884  4.1473e-020
227.906  4.10727e-020
228.928  4.06676e-020
229.95  4.02576e-020
230.972  3.98427e-020
231.994  3.9423e-020
233.016  3.89985e-020
234.038  3.85692e-020
235.06  3.81353e-020
236.082  3.76966e-020
237.104  3.72533e-020
238.126  3.68054e-020
